L,B_over_B0,E_0.2_MeV,E_0.6_MeV,E_1.25_MeV,E_3_MeV,E_5_MeV,E_12.5_MeV,E_30_MeV,E_50_MeV,E_125_MeV,E_300_MeV
3,8.666,2.1e+07,3.65e+06,470000,10300,822,5.47,0,0,0,0
3,10.399,1.55e+07,2.58e+06,322000,7070,591,4.18,0,0,0,0
3,12.132,1.18e+07,1.86e+06,223000,5030,431,3.22,0,0,0,0
3,13.865,9.03e+06,1.36e+06,158000,3600,315,2.48,0,0,0,0
3,15.598,6.59e+06,973000,106000,2580,232,1.92,0,0,0,0
3,17.331,4.69e+06,689000,69600,1720,159,1.35,0,0,0,0
3,19.064,3.08e+06,456000,43100,1090,106,0,0,0,0,0
3,20.797,1.9e+06,276000,24700,657,66.7,0,0,0,0,0
3,22.53,1.05e+06,147000,13300,369,37.6,0,0,0,0,0
3,24.35,460000,61700,5780,180,17.9,0,0,0,0,0
3,26.083,132000,17100,1690,61.8,6.35,0,0,0,0,0
3,27.816,9500,866,119,6.49,0,0,0,0,0,0
3.4,1,7.81e+08,1.76e+08,2.87e+07,301000,10300,12.4,0,0,0,0
3.4,1.261,5.45e+08,1.08e+08,1.51e+07,140000,5020,6.87,0,0,0,0
3.4,2.522,2.33e+08,3.13e+07,3.3e+06,30200,1120,0,0,0,0,0
3.4,5.044,1.14e+08,1.19e+07,1.09e+06,9750,381,0,0,0,0,0
3.4,7.566,7.68e+07,6.97e+06,569000,5050,204,0,0,0,0,0
3.4,10.088,5.5e+07,4.72e+06,359000,3080,134,0,0,0,0,0
3.4,12.61,4.32e+07,3.34e+06,241000,2080,93.7,0,0,0,0,0
3.4,15.132,3.36e+07,2.5e+06,168000,1470,69.3,0,0,0,0,0
3.4,17.654,2.65e+07,1.86e+06,118000,1060,51.4,0,0,0,0,0
3.4,20.177,2.09e+07,1.36e+06,84000,789,38.4,0,0,0,0,0
3.4,22.699,1.6e+07,983000,61400,585,28.6,0,0,0,0,0
3.4,25.221,1.19e+07,702000,43600,432,21.4,0,0,0,0,0
3.4,27.743,8.66e+06,486000,30100,312,15.5,0,0,0,0,0
3.4,30.265,6.23e+06,320000,20000,206,10.5,0,0,0,0,0
3.4,32.787,3.23e+06,170000,10800,122,6.75,0,0,0,0,0
3.4,35.435,1.11e+06,56700,3370,48.1,0,0,0,0,0,0
3.4,37.957,164000,8290,539,11.7,0,0,0,0,0,0
3.4,40.479,4800,167,12.5,0,0,0,0,0,0,0
