L,B_over_B0,E_0.2_MeV,E_0.6_MeV,E_1.25_MeV,E_3_MeV,E_5_MeV,E_12.5_MeV,E_30_MeV,E_50_MeV,E_125_MeV,E_300_MeV
5.8,87.5,2.69e+06,15800,0,0,0,0,0,0,0,0
5.8,100,2.24e+06,12200,0,0,0,0,0,0,0,0
5.8,112.5,1.81e+06,9410,0,0,0,0,0,0,0,0
5.8,125,1.4e+06,6880,0,0,0,0,0,0,0,0
5.8,137.5,1.07e+06,0,0,0,0,0,0,0,0,0
5.8,150,806000,0,0,0,0,0,0,0,0,0
5.8,162.5,567000,0,0,0,0,0,0,0,0,0
5.8,175.625,279000,0,0,0,0,0,0,0,0,0
5.8,188.125,101000,0,0,0,0,0,0,0,0,0
5.8,200.625,21300,0,0,0,0,0,0,0,0,0
5.8,212.5,4040,0,0,0,0,0,0,0,0,0
5.8,225.625,869,0,0,0,0,0,0,0,0,0
6.2,1,3.99e+07,732000,3100,0,0,0,0,0,0,0
6.2,3.817,1.19e+07,125000,0,0,0,0,0,0,0,0
6.2,7.634,8.58e+06,72500,0,0,0,0,0,0,0,0
6.2,15.267,6.05e+06,45100,0,0,0,0,0,0,0,0
6.2,30.534,3.87e+06,26900,0,0,0,0,0,0,0,0
6.2,45.802,2.94e+06,18600,0,0,0,0,0,0,0,0
6.2,61.069,2.25e+06,13500,0,0,0,0,0,0,0,0
6.2,76.336,1.82e+06,10200,0,0,0,0,0,0,0,0
6.2,91.603,1.48e+06,0,0,0,0,0,0,0,0,0
6.2,106.87,1.17e+06,0,0,0,0,0,0,0,0,0
6.2,122.137,891000,0,0,0,0,0,0,0,0,0
6.2,137.405,669000,0,0,0,0,0,0,0,0,0
6.2,152.672,481000,0,0,0,0,0,0,0,0,0
6.2,167.939,323000,0,0,0,0,0,0,0,0,0
6.2,183.206,190000,0,0,0,0,0,0,0,0,0
6.2,198.473,86900,0,0,0,0,0,0,0,0,0
6.2,214.504,30500,0,0,0,0,0,0,0,0,0
6.2,229.771,9630,0,0,0,0,0,0,0,0,0
6.2,245.038,2830,0,0,0,0,0,0,0,0,0
6.6,1,2.55e+07,402000,1760,0,0,0,0,0,0,0
6.6,4.63,6.4e+06,61600,0,0,0,0,0,0,0,0
6.6,9.259,4.29e+06,36700,0,0,0,0,0,0,0,0
6.6,18.519,3.01e+06,21900,0,0,0,0,0,0,0,0
6.6,37.037,1.92e+06,11400,0,0,0,0,0,0,0,0
6.6,55.556,1.34e+06,6950,0,0,0,0,0,0,0,0
6.6,74.074,1.01e+06,0,0,0,0,0,0,0,0,0
6.6,92.593,759000,0,0,0,0,0,0,0,0,0
6.6,111.111,575000,0,0,0,0,0,0,0,0,0
6.6,129.63,431000,0,0,0,0,0,0,0,0,0
6.6,148.148,312000,0,0,0,0,0,0,0,0,0
6.6,166.667,220000,0,0,0,0,0,0,0,0,0
6.6,185.185,151000,0,0,0,0,0,0,0,0,0
6.6,203.704,97900,0,0,0,0,0,0,0,0,0
6.6,222.222,60600,0,0,0,0,0,0,0,0,0
6.6,240.741,35200,0,0,0,0,0,0,0,0,0
6.6,260.185,18000,0,0,0,0,0,0,0,0,0
6.6,278.704,8380,0,0,0,0,0,0,0,0,0
6.6,297.222,3570,0,0,0,0,0,0,0,0,0
6.6,314.815,1560,0,0,0,0,0,0,0,0,0
7,1,3.87e+06,92900,774,0,0,0,0,0,0,0
7,5.495,985000,14800,0,0,0,0,0,0,0,0
7,10.989,729000,9670,0,0,0,0,0,0,0,0
7,21.978,498000,5830,0,0,0,0,0,0,0,0
7,43.956,316000,2970,0,0,0,0,0,0,0,0
7,65.934,225000,0,0,0,0,0,0,0,0,0
7,87.912,161000,0,0,0,0,0,0,0,0,0
7,109.89,116000,0,0,0,0,0,0,0,0,0
7,131.868,79000,0,0,0,0,0,0,0,0,0
7,153.846,51800,0,0,0,0,0,0,0,0,0
7,175.824,32000,0,0,0,0,0,0,0,0,0
7,197.802,18200,0,0,0,0,0,0,0,0,0
7,219.78,9360,0,0,0,0,0,0,0,0,0
7,241.758,3990,0,0,0,0,0,0,0,0,0
7,263.736,1470,0,0,0,0,0,0,0,0,0
8,1,33100,2350,97.1,0,0,0,0,0,0,0
8,8.197,11000,516,0,0,0,0,0,0,0,0
8,16.393,8520,360,0,0,0,0,0,0,0,0
8,32.787,6220,224,0,0,0,0,0,0,0,0
8,65.574,3800,0,0,0,0,0,0,0,0,0
8,98.361,2180,0,0,0,0,0,0,0,0,0
8,131.148,1030,0,0,0,0,0,0,0,0,0
8,163.934,329,0,0,0,0,0,0,0,0,0
9,1,228,50.9,10.6,0,0,0,0,0,0,0
9,11.628,120,20.2,0,0,0,0,0,0,0,0
9,23.256,101,0,0,0,0,0,0,0,0,0
9,46.512,71.9,0,0,0,0,0,0,0,0,0
9,93.023,16.9,0,0,0,0,0,0,0,0,0
